Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,36.328250000000004
vehicle,1,2,0.0,0.0,35.383250000000004
vehicle,1,3,29.377089,0.0,35.18025
vehicle,1,4,9.792363,0.0,35.780499999999996
vehicle,1,5,18.32570790000255,0.0,38.16400000000001
vehicle,1,6,39.169452,0.0,41.31925000000001
vehicle,1,7,33.5738160000034,0.0,0.0
vehicle,1,8,19.584726,0.0,42.59675
vehicle,1,9,75.9607587000163,0.0,0.0
vehicle,1,10,39.169452,0.0,41.37875
vehicle,1,11,104.918175,0.0,41.42075000000002
vehicle,1,12,39.169452,0.0,41.755
vehicle,1,13,39.169452,0.0,42.077
vehicle,1,14,55.95636000000001,0.0,43.28625000000002
vehicle,1,15,9.792363,0.0,44.94525000000001
vehicle,1,16,68.54654099999999,0.0,46.54649999999999
vehicle,1,17,30.915888900002546,0.0,48.42345035544684
vehicle,1,18,19.584726,0.0,49.37625000000003
vehicle,1,19,1031.4831582381628,0.0,50.56275000000002
vehicle,1,20,985.8758135380305,0.0,50.77625
vehicle,1,21,1313.2801372637705,0.0,48.586999999999996
vehicle,1,22,1140.8387053338188,0.0,44.899749999999976
vehicle,1,23,1163.2702906267311,0.0,41.6075698115
vehicle,1,24,1303.4917347063883,0.0,39.008819811500004
