Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,41.922999999999995
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,41.265
vehicle,1,11,0.0,0.0,40.922000000000004
vehicle,1,12,0.0,0.0,41.12150000000001
vehicle,1,13,0.0,0.0,41.65875
vehicle,1,14,0.0,0.0,42.25025000000001
vehicle,1,15,0.0,0.0,43.377250000000004
vehicle,1,16,0.0,0.0,44.36075000000001
vehicle,1,17,0.0,0.0,45.428250000000006
vehicle,1,18,0.0,0.0,46.20175000000002
vehicle,1,19,0.0,0.0,47.922000000000004
vehicle,1,20,0.0,0.0,47.4705
vehicle,1,21,0.0,0.0,45.09575000000002
vehicle,1,22,0.0,0.0,41.62900000000001
vehicle,1,23,0.0,0.0,38.45975
vehicle,1,24,0.0,0.0,36.398250000000026
