DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
522566.45772770373,0.0,0.0,15668.2,-506898.2577277037
487719.63400584145,0.0,0.0,15222.760000000004,-472496.87400584144
494851.8424438167,0.0,0.0,14268.56,-480583.2824438167
528889.41328958,0.0,0.0,15257.880000000006,-513631.53328958
468774.6182046224,0.0,0.0,15195.800000000003,-453578.8182046224
357596.3890126254,0.0,0.0,13525.720000000007,-344070.66901262535
495718.7308416703,0.0,0.0,12761.440000000002,-482957.2908416703
478356.4690313708,0.0,0.0,16152.400000000001,-462204.0690313708
442214.16420528357,0.0,0.0,14810.240000000007,-427403.9242052836
489145.21230707417,0.0,0.0,14875.480000000003,-474269.7323070742
447791.6596557061,0.0,0.0,15280.080000000002,-432511.57965570607
