Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,119.45
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,119.095
vehicle,1,11,0.0,0.0,119.95500000000001
vehicle,1,12,0.0,0.0,122.64000000000001
vehicle,1,13,0.0,0.0,125.47500000000002
vehicle,1,14,0.0,0.0,128.685
vehicle,1,15,0.0,0.0,129.14000000000001
vehicle,1,16,0.0,0.0,131.365
vehicle,1,17,0.0,0.0,134.77999999999997
vehicle,1,18,0.0,0.0,136.20000000000005
vehicle,1,19,0.0,0.0,140.15
vehicle,1,20,0.0,0.0,139.77
vehicle,1,21,0.0,0.0,132.71
vehicle,1,22,0.0,0.0,121.91
vehicle,1,23,0.0,0.0,111.995
vehicle,1,24,0.0,0.0,105.73
