Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,15.050000000000004,0.0,43.12700000000002
vehicle,1,2,6.02,0.0,41.1775
vehicle,1,3,9.030000000000037,0.0,39.942
vehicle,1,4,15.652000000008107,0.0,39.49050000000002
vehicle,1,5,12.04,0.0,39.41874999999999
vehicle,1,6,30.100000000000044,0.0,39.592000000000006
vehicle,1,7,39.13,0.0,0.0
vehicle,1,8,24.08,0.0,42.567
vehicle,1,9,21.07000000000012,0.0,0.0
vehicle,1,10,28.29400000000606,0.0,45.766000000000005
vehicle,1,11,23.220000000000045,0.0,48.06725
vehicle,1,12,48.89100000000297,0.0,51.22600000000002
vehicle,1,13,18.06,0.0,54.88350000000001
vehicle,1,14,32.25,0.0,58.49725000000003
vehicle,1,15,64.58600000000207,0.0,61.55975000000003
vehicle,1,16,27.090000000000042,0.0,63.94675
vehicle,1,17,32.25,0.0,65.41392121205024
vehicle,1,18,28.724000000003038,0.0,64.88299999999998
vehicle,1,19,665.7657909467022,0.0,63.04550000000001
vehicle,1,20,931.5090000000256,0.0,60.70925000000002
vehicle,1,21,0.0,0.0,56.87675000000001
vehicle,1,22,0.0,0.0,52.03975000000001
vehicle,1,23,0.0,0.0,47.70325000000002
vehicle,1,24,0.0,0.0,44.5585
