DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[473757.09056049935],[663373.6639096013],[0.0],[14440.37546091669],[204056.9488100186]
[174214.88264240525],[47855.475900557256],[0.0],[12937.785000000002],[-113421.621741848]
[162605.91516719578],[127491.0299252205],[0.0],[13824.657000000003],[-21290.228241975274]
[169014.03946806042],[116044.67940992021],[0.0],[13493.894054544606],[-39475.466003595604]
[282153.99508804013],[304134.75295953103],[0.0],[14816.151000000003],[36796.908871490916]
[345393.50435725576],[294337.4096756224],[0.0],[14992.318460916691],[-36063.77622071665]
[202259.13474786078],[48108.92600705886],[0.0],[13634.677039030614],[-140515.5317017713]
[158757.01747031655],[153659.08151026105],[0.0],[13662.8494454027],[8564.913485347206]
[142385.43895950535],[126442.67443502072],[0.0],[13292.937000000002],[-2649.82752448463]
[143285.12288240244],[85749.90366712256],[0.0],[12351.598039030614],[-45183.62117624926]
[162645.9524349974],[100919.32351758433],[0.0],[12048.467406372089],[-49678.16151104098]
[568635.1019533849],[667091.4566931161],[0.0],[13865.061000000002],[112321.41573973116]
[275475.8243529082],[297505.4351330047],[0.0],[14626.962],[36656.572780096496]
[598526.9164298925],[627401.6498571371],[0.0],[15462.941406372087],[44337.67483361671]
[306472.28511078376],[325888.8669136835],[0.0],[15666.3334454027],[35082.91524830239]
[157072.1306340981],[125855.25879179974],[0.0],[14950.961406372087],[-16265.910435926286]
[165969.77792110082],[132160.22423031912],[0.0],[12797.197039030612],[-21012.35665175109]
[170146.59495650983],[140644.52214584535],[0.0],[11949.826039030613],[-17552.246771633858]
[150037.11260144203],[134460.593132614],[0.0],[13302.856039030614],[-2273.663429797394]
