Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,16267.912761,0.0,121.665
vehicle,1,2,15829.314508549363,0.0,117.635
vehicle,1,3,16546.563244545105,0.0,116.47
vehicle,1,4,16592.215206037097,0.0,118.965
vehicle,1,5,16620.437829,0.0,124.95
vehicle,1,6,16258.120398000001,0.0,131.025
vehicle,1,7,16230.149981344553,0.0,0.0
vehicle,1,8,17462.581047,0.0,139.335
vehicle,1,9,19661.665995,0.0,0.0
vehicle,1,10,20878.716825,0.0,145.615
vehicle,1,11,21926.499666,0.0,149.54
vehicle,1,12,21639.723320999998,0.0,154.715
vehicle,1,13,21165.92878399131,0.0,161.01500000000001
vehicle,1,14,20929.877332353746,0.0,166.72
vehicle,1,15,20111.97725364843,0.0,172.39000000000001
vehicle,1,16,18698.88730011286,0.0,176.935
vehicle,1,17,17321.030755346288,0.0,179.45771530127672
vehicle,1,18,17756.351937,0.0,177.07500000000002
vehicle,1,19,18823.719504,0.0,172.975
vehicle,1,20,17161.815612,0.0,168.01
vehicle,1,21,17222.516400599096,0.0,157.78
vehicle,1,22,16101.06877057738,0.0,144.355
vehicle,1,23,11385.720351,0.0,132.83377089
vehicle,1,24,10001.515090291232,0.0,124.21654459595666
