Hour,pr_e,pr_fre_u,pr_fre_d
0,31.461613931061923,2.6917885123843805,12.0
1,31.461613931061923,2.689031255521112,12.0
2,31.461613931061923,2.6911499784796886,12.0
3,31.461613931061923,2.7006803108336865,12.0
4,31.461613931061923,2.7200231321570865,12.0
5,31.461613931061923,2.7200231321570865,12.0
6,31.461613931061923,2.5466437961516224,0.0005486228111083897
7,31.461613931061923,0.0010654587888237882,12.0
8,31.461613931061923,0.0013327824985744595,0.0006116632901213827
9,31.461613931061923,0.0012785900610706126,12.0
10,31.461613931061923,0.0012785900610706126,12.0
11,31.461613931061923,0.0012785900610706126,12.0
12,31.461613931061923,0.0013230453586569751,12.0
13,31.461613931061923,0.0012785900610706126,12.0
14,31.461613931061923,2.5429846599080306,12.0
15,31.461613931061923,2.54717333503316,12.0
16,31.461613931061923,2.6616694532098832,12.0
17,32.413974364701794,2.748044726954923,12.0
18,65.96367213598542,3.0643966279417603,12.0
19,65.95673617499342,3.0643966279417603,12.0
20,34.2439662794176,3.0643966279417603,12.0
21,32.680306238149825,2.804380426787765,12.0
22,32.680306238149825,2.7246550398748832,12.0
23,32.680306238149825,2.7861613931061924,12.0
