DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
160993.02056521652,0.0,0.0,11266.227000000003,-149726.7935652165
132918.05438936723,0.0,0.0,12355.271999999964,-120562.78238936726
159218.11562912373,0.0,0.0,10422.144,-148795.97162912373
171789.81274178124,0.0,0.0,9774.998247813077,-162014.81449396815
178527.60198866657,0.0,0.0,12987.807,-165539.79498866657
193386.44978935103,0.0,0.0,11364.69,-182021.75978935102
156066.55896029132,0.0,0.0,11479.782000000014,-144586.77696029132
158446.79411733983,0.0,0.0,10592.526,-147854.26811733982
138670.17049163574,0.0,0.0,11617.493999999999,-127052.67649163574
142377.4974266327,0.0,0.0,9837.542760395178,-132539.95466623752
157499.3765109852,0.0,0.0,9020.643000000002,-148478.73351098518
156579.33038032713,0.0,0.0,11657.438373164328,-144921.8920071628
169852.51190286328,0.0,0.0,11332.05,-158520.4619028633
199461.7751596247,0.0,0.0,10550.624363387964,-188911.15079623673
152842.1895874368,0.0,0.0,9865.647,-142976.5425874368
145184.0912510933,0.0,0.0,11184.566567873831,-133999.52468321947
