DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[202977.73907429422],[103777.86438943438],[0.0],[10569.44546091669],[-88630.42922394315]
[377896.8448189403],[332589.603941572],[0.0],[11292.162],[-34015.0788773683]
[248665.7468340947],[152611.82745290367],[0.0],[11481.729000000001],[-84572.19038119103]
[229007.86566382408],[114325.68103161457],[0.0],[11678.066054544604],[-103004.1185776649]
[316184.94082474406],[231965.70677993988],[0.0],[11304.224054544604],[-72915.00999025957]
[259745.16978939343],[121073.4672019582],[0.0],[11241.458406372087],[-127430.24418106314]
[218769.6889355858],[103017.81473953239],[0.0],[10777.557000000003],[-104974.3171960534]
[179829.57973199157],[85570.4067972266],[0.0],[10341.8044454027],[-83917.36848936227]
[338588.78058518283],[322744.6515454527],[0.0],[11214.168000000001],[-4629.961039730115]
[242739.7519630954],[138010.32065020505],[0.0],[11473.441039030615],[-93255.99027385973]
[542328.1533998145],[406282.18416985276],[0.0],[11595.778460916688],[-124450.19076904503]
[254669.9227307188],[96499.41971457399],[0.0],[11320.764000000003],[-146849.7390161448]
[203892.95017590106],[91224.60531745078],[0.0],[11255.021054544603],[-101413.32380390567]
[165846.04814318748],[78842.36877926282],[0.0],[10591.011445402703],[-76412.66791852195]
[161704.09401047294],[81337.0331326786],[0.0],[10396.796406372086],[-69970.26447142226]
[181870.5943830756],[136542.642564033],[0.0],[11552.307445402701],[-33775.644373639894]
[195430.61897174537],[101191.00091398842],[0.0],[11842.873039030612],[-82396.74501872633]
[496399.04659825587],[333974.8131147344],[0.0],[11945.920039030614],[-150478.31344449084]
[217766.24889316986],[130641.69211239535],[0.0],[11679.661039030614],[-75444.89574174391]
[220087.99054964064],[131268.68194062216],[0.0],[11559.44846091669],[-77259.86014810178]
[270782.8603315733],[113176.02502140976],[0.0],[10866.983054544606],[-146739.85225561893]
[181408.17904188437],[85599.53086357887],[0.0],[10736.985],[-85071.6631783055]
[213613.6771991902],[107366.7277500926],[0.0],[11630.651406372088],[-94616.29804272551]
[162283.8879031579],[73832.48588789116],[0.0],[10873.63046091669],[-77577.77155435007]
[156241.8438118582],[70831.60527359805],[0.0],[10348.517406372088],[-75061.72113188807]
[252386.55546642398],[141446.76522358536],[0.0],[11352.964039030614],[-99586.82620380801]
[362103.5107905547],[255434.7595319283],[0.0],[11163.936000000002],[-95504.81525862636]
[170624.25973426385],[79651.18327089699],[0.0],[10020.759000000002],[-80952.31746336685]
[202424.0567283948],[106174.22456276171],[0.0],[10578.369445402699],[-85671.46272023038]
[204318.3871576651],[110843.7065249731],[0.0],[11064.9394454027],[-82409.7411872893]
