Hour,pr_e,pr_fre_u,pr_fre_d
0,40.94718946319823,2.7152639008078343,12.0
1,40.94718946319823,2.7008314541483154,12.0
2,40.94718946319823,2.7029221818511573,12.0
3,40.94718946319823,2.7027376825255147,12.0
4,40.94718946319823,2.7026810469662763,12.0
5,40.94718946319823,2.704443717493476,12.0
6,40.94718946319823,2.7200231321570865,0.0005031074178736212
7,40.94718946319823,2.7039157270969736,12.0
8,40.94718946319823,2.667638754395772,0.0005097841772272428
9,40.94718946319823,2.6594677462018343,12.0
10,40.94718946319823,2.5429846599080306,12.0
11,40.94718946319823,2.294995326293332,12.0
12,40.94718946319823,2.5429846599080306,12.0
13,40.94718946319823,2.5466437961516224,12.0
14,40.94718946319823,2.6870914922975584,12.0
15,40.94718946319823,2.7268279843030907,12.0
16,40.94718946319823,3.064201474739951,12.0
17,59.305613684074174,3.734718946319824,12.0
18,40.94718946319823,3.438903787563848,12.0
19,40.94718946319823,3.2059779570197247,12.0
20,40.94718946319823,3.064201474739951,12.0
21,40.94718946319823,2.8776190356555844,12.0
22,40.94718946319823,2.7372528726663106,12.0
23,40.94718946319823,2.804502262853616,12.0
