Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,38.071250000000006
vehicle,1,2,0.0,0.0,36.65375
vehicle,1,3,12.310399200003994,0.0,35.90125
vehicle,1,4,0.0,0.0,36.06399999999999
vehicle,1,5,0.0,0.0,37.422000000000004
vehicle,1,6,0.0,0.0,40.45825
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,45.80975
vehicle,1,9,19.584726,0.0,0.0
vehicle,1,10,5.455745100002649,0.0,43.70799999999999
vehicle,1,11,48.961815000004826,0.0,42.18725000000001
vehicle,1,12,23.781453000003417,0.0,41.36124999999999
vehicle,1,13,0.0,0.0,43.123500000000014
vehicle,1,14,141.2898090000097,0.0,42.36050000000004
vehicle,1,15,51.200069400002306,0.0,43.394750000000016
vehicle,1,16,0.0,0.0,45.109750000000005
vehicle,1,17,0.0,0.0,47.780249999999995
vehicle,1,18,1504.564208874555,0.0,50.428000000000004
vehicle,1,19,1054.7609269664938,0.0,50.004500000000014
vehicle,1,20,1200.3538743454876,0.0,49.12250000000001
vehicle,1,21,1067.8047033885553,0.0,47.806500000000014
vehicle,1,22,1003.613643630461,0.0,45.38975000000001
vehicle,1,23,1734.4111413715204,0.0,42.084
vehicle,1,24,1309.9639713373665,0.0,39.15625000000002
