Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,9.792363,0.0,106.58999999999997
vehicle,1,2,48.961815000000016,0.0,102.71500000000002
vehicle,1,3,30.49621620000387,0.0,99.82000000000002
vehicle,1,4,29.377089,0.0,100.23
vehicle,1,5,48.961815000000016,0.0,101.54
vehicle,1,6,107.71599299999998,0.0,105.075
vehicle,1,7,48.961815000000016,0.0,0.0
vehicle,1,8,78.338904,0.0,113.345
vehicle,1,9,170.66689800000003,0.0,0.0
vehicle,1,10,167.86908,0.0,114.355
vehicle,1,11,65.748723,0.0,112.755
vehicle,1,12,121.705083,0.0,110.44
vehicle,1,13,87.7115943000116,0.0,109.37500000000004
vehicle,1,14,134.295264,0.0,110.26000000000002
vehicle,1,15,0.0,0.0,114.02500000000002
vehicle,1,16,170.52700710000147,0.0,117.53000000000003
vehicle,1,17,9.792363,0.0,125.80771530127672
vehicle,1,18,124.50290100000004,0.0,134.03000000000003
vehicle,1,19,136.81330020002102,0.0,133.19
vehicle,1,20,94.80045871434142,0.0,130.975
vehicle,1,21,29.377089,0.0,128.305
vehicle,1,22,2281.6205790000367,0.0,123.92000000000006
vehicle,1,23,2172.3657861000006,0.0,117.40377089000005
vehicle,1,24,2466.5563488000425,0.0,110.60154459595671
