Generator,Day,Hour,On
10034_G_GEN1,1,1,-0.0
10034_G_GEN1,1,2,-0.0
10034_G_GEN1,1,3,-0.0
10034_G_GEN1,1,4,-0.0
10034_G_GEN1,1,5,-0.0
10034_G_GEN1,1,6,-0.0
10034_G_GEN1,1,7,-0.0
10034_G_GEN1,1,8,-0.0
10034_G_GEN1,1,9,-0.0
10034_G_GEN1,1,10,0.0
10034_G_GEN1,1,11,0.0
10034_G_GEN1,1,12,-0.0
10034_G_GEN1,1,13,-0.0
10034_G_GEN1,1,14,-0.0
10034_G_GEN1,1,15,-0.0
10034_G_GEN1,1,16,-0.0
10034_G_GEN1,1,17,-0.0
10034_G_GEN1,1,18,-0.0
10034_G_GEN1,1,19,-0.0
10034_G_GEN1,1,20,-0.0
10034_G_GEN1,1,21,-0.0
10034_G_GEN1,1,22,-0.0
10034_G_GEN1,1,23,-0.0
10034_G_GEN1,1,24,-0.0
10034_G_GEN1,1,25,-0.0
10034_G_GEN2,1,1,-0.0
10034_G_GEN2,1,2,-0.0
10034_G_GEN2,1,3,-0.0
10034_G_GEN2,1,4,-0.0
10034_G_GEN2,1,5,-0.0
10034_G_GEN2,1,6,-0.0
10034_G_GEN2,1,7,-0.0
10034_G_GEN2,1,8,-0.0
10034_G_GEN2,1,9,0.0
10034_G_GEN2,1,10,0.0
10034_G_GEN2,1,11,0.0
10034_G_GEN2,1,12,-0.0
10034_G_GEN2,1,13,-0.0
10034_G_GEN2,1,14,-0.0
10034_G_GEN2,1,15,-0.0
10034_G_GEN2,1,16,-0.0
10034_G_GEN2,1,17,-0.0
10034_G_GEN2,1,18,-0.0
10034_G_GEN2,1,19,-0.0
10034_G_GEN2,1,20,-0.0
10034_G_GEN2,1,21,-0.0
10034_G_GEN2,1,22,-0.0
10034_G_GEN2,1,23,-0.0
10034_G_GEN2,1,24,-0.0
10034_G_GEN2,1,25,-0.0
10156_G_GEN2,1,1,-0.0
10156_G_GEN2,1,2,-0.0
10156_G_GEN2,1,3,-0.0
10156_G_GEN2,1,4,-0.0
10156_G_GEN2,1,5,-0.0
10156_G_GEN2,1,6,-0.0
10156_G_GEN2,1,7,0.0
10156_G_GEN2,1,8,0.0
10156_G_GEN2,1,9,0.0
10156_G_GEN2,1,10,0.0
10156_G_GEN2,1,11,0.0
10156_G_GEN2,1,12,0.0
10156_G_GEN2,1,13,0.0
10156_G_GEN2,1,14,0.0
10156_G_GEN2,1,15,0.0
10156_G_GEN2,1,16,0.0
10156_G_GEN2,1,17,0.0
10156_G_GEN2,1,18,0.0
10156_G_GEN2,1,19,-0.0
10156_G_GEN2,1,20,-0.0
10156_G_GEN2,1,21,-0.0
10156_G_GEN2,1,22,-0.0
10156_G_GEN2,1,23,-0.0
10156_G_GEN2,1,24,-0.0
10156_G_GEN2,1,25,-0.0
10156_G_GEN4,1,1,-0.0
10156_G_GEN4,1,2,-0.0
10156_G_GEN4,1,3,-0.0
10156_G_GEN4,1,4,-0.0
10156_G_GEN4,1,5,-0.0
10156_G_GEN4,1,6,-0.0
10156_G_GEN4,1,7,-0.0
10156_G_GEN4,1,8,-0.0
10156_G_GEN4,1,9,-0.0
10156_G_GEN4,1,10,0.0
10156_G_GEN4,1,11,0.0
10156_G_GEN4,1,12,0.0
10156_G_GEN4,1,13,-0.0
10156_G_GEN4,1,14,-0.0
10156_G_GEN4,1,15,-0.0
10156_G_GEN4,1,16,-0.0
10156_G_GEN4,1,17,-0.0
10156_G_GEN4,1,18,-0.0
10156_G_GEN4,1,19,-0.0
10156_G_GEN4,1,20,-0.0
10156_G_GEN4,1,21,-0.0
10156_G_GEN4,1,22,-0.0
10156_G_GEN4,1,23,-0.0
10156_G_GEN4,1,24,-0.0
10156_G_GEN4,1,25,-0.0
10175_G_0799,1,1,-0.0
10175_G_0799,1,2,-0.0
10175_G_0799,1,3,-0.0
10175_G_0799,1,4,-0.0
10175_G_0799,1,5,-0.0
10175_G_0799,1,6,-0.0
10175_G_0799,1,7,-0.0
10175_G_0799,1,8,-0.0
10175_G_0799,1,9,-0.0
10175_G_0799,1,10,-0.0
10175_G_0799,1,11,-0.0
10175_G_0799,1,12,-0.0
10175_G_0799,1,13,-0.0
10175_G_0799,1,14,-0.0
10175_G_0799,1,15,-0.0
10175_G_0799,1,16,-0.0
10175_G_0799,1,17,-0.0
10175_G_0799,1,18,-0.0
10175_G_0799,1,19,-0.0
10175_G_0799,1,20,-0.0
10175_G_0799,1,21,-0.0
10175_G_0799,1,22,-0.0
10175_G_0799,1,23,-0.0
10175_G_0799,1,24,-0.0
10175_G_0799,1,25,-0.0
10213_G_GEN1,1,1,-0.0
10213_G_GEN1,1,2,-0.0
10213_G_GEN1,1,3,-0.0
10213_G_GEN1,1,4,-0.0
10213_G_GEN1,1,5,-0.0
10213_G_GEN1,1,6,-0.0
10213_G_GEN1,1,7,-0.0
10213_G_GEN1,1,8,-0.0
10213_G_GEN1,1,9,-0.0
10213_G_GEN1,1,10,-0.0
10213_G_GEN1,1,11,0.0
10213_G_GEN1,1,12,0.0
10213_G_GEN1,1,13,0.0
10213_G_GEN1,1,14,-0.0
10213_G_GEN1,1,15,-0.0
10213_G_GEN1,1,16,-0.0
10213_G_GEN1,1,17,-0.0
10213_G_GEN1,1,18,-0.0
10213_G_GEN1,1,19,-0.0
10213_G_GEN1,1,20,-0.0
10213_G_GEN1,1,21,-0.0
10213_G_GEN1,1,22,-0.0
10213_G_GEN1,1,23,-0.0
10213_G_GEN1,1,24,-0.0
10213_G_GEN1,1,25,-0.0
10213_G_GEN2,1,1,-0.0
10213_G_GEN2,1,2,-0.0
10213_G_GEN2,1,3,-0.0
10213_G_GEN2,1,4,-0.0
10213_G_GEN2,1,5,-0.0
10213_G_GEN2,1,6,-0.0
10213_G_GEN2,1,7,-0.0
10213_G_GEN2,1,8,-0.0
10213_G_GEN2,1,9,-0.0
10213_G_GEN2,1,10,-0.0
10213_G_GEN2,1,11,0.0
10213_G_GEN2,1,12,0.0
10213_G_GEN2,1,13,0.0
10213_G_GEN2,1,14,-0.0
10213_G_GEN2,1,15,-0.0
10213_G_GEN2,1,16,-0.0
10213_G_GEN2,1,17,-0.0
10213_G_GEN2,1,18,-0.0
10213_G_GEN2,1,19,-0.0
10213_G_GEN2,1,20,-0.0
10213_G_GEN2,1,21,-0.0
10213_G_GEN2,1,22,-0.0
10213_G_GEN2,1,23,-0.0
10213_G_GEN2,1,24,-0.0
10213_G_GEN2,1,25,-0.0
10213_G_GEN5,1,1,-0.0
10213_G_GEN5,1,2,-0.0
10213_G_GEN5,1,3,-0.0
10213_G_GEN5,1,4,-0.0
10213_G_GEN5,1,5,-0.0
10213_G_GEN5,1,6,-0.0
10213_G_GEN5,1,7,-0.0
10213_G_GEN5,1,8,-0.0
10213_G_GEN5,1,9,-0.0
10213_G_GEN5,1,10,-0.0
10213_G_GEN5,1,11,0.0
10213_G_GEN5,1,12,0.0
10213_G_GEN5,1,13,0.0
10213_G_GEN5,1,14,-0.0
10213_G_GEN5,1,15,-0.0
10213_G_GEN5,1,16,-0.0
10213_G_GEN5,1,17,-0.0
10213_G_GEN5,1,18,-0.0
10213_G_GEN5,1,19,-0.0
10213_G_GEN5,1,20,-0.0
10213_G_GEN5,1,21,-0.0
10213_G_GEN5,1,22,-0.0
10213_G_GEN5,1,23,-0.0
10213_G_GEN5,1,24,-0.0
10213_G_GEN5,1,25,-0.0
10213_G_GEN6,1,1,-0.0
10213_G_GEN6,1,2,-0.0
10213_G_GEN6,1,3,-0.0
10213_G_GEN6,1,4,-0.0
10213_G_GEN6,1,5,-0.0
10213_G_GEN6,1,6,-0.0
