Hour,pr_e,pr_fre_u,pr_fre_d
0,35.09289493590226,2.7008314541483154,0.0005031074178736212
1,35.09289493590226,2.6911499784796886,0.0005031074178736212
2,35.09289493590226,2.6863489075000864,0.0005031074178736212
3,35.09289493590226,2.6863489075000864,0.0005031074178736212
4,35.09289493590226,2.7008314541483154,0.0005031074178736212
5,35.09289493590226,2.7079687948625755,0.0005031074178736212
6,35.09289493590226,2.7831198855203017,0.0005486228111083897
7,35.09289493590226,2.699937345458107,12.0
8,35.09289493590226,2.5466437961516224,0.0005486228111083897
9,35.09289493590226,2.294995326293332,12.0
10,35.09289493590226,0.0009962192295314939,12.0
11,35.09289493590226,0.0010654587888237882,12.0
12,35.09289493590226,0.0010654587888237882,12.0
13,35.09289493590226,0.0010654587888237882,12.0
14,35.09289493590226,0.003450542553808297,12.0
15,35.09289493590226,2.5466437961516224,12.0
16,35.09289493590226,2.7831198855203017,12.0
17,65.9553137722021,3.440307922426088,12.0
18,59.75677719245546,3.440307922426088,12.0
19,38.00307922426087,3.440307922426088,12.0
20,34.55543273581463,3.064201474739951,12.0
21,34.1598462696985,3.008586339818464,12.0
22,34.1598462696985,2.9212375515251403,12.0
23,34.1598462696985,3.0119914469525906,12.0
