Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,15.479999999999995
vehicle,1,3,0.0,0.0,36.687
vehicle,1,4,0.0,0.0,36.6345
vehicle,1,5,0.0,0.0,15.479999999999995
vehicle,1,6,0.0,0.0,15.479999999999995
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,43.028999999999996
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,41.60450000000001
vehicle,1,11,0.0,0.0,40.837999999999994
vehicle,1,12,0.0,0.0,40.27800000000001
vehicle,1,13,0.0,0.0,40.302499999999995
vehicle,1,14,0.0,0.0,40.764500000000005
vehicle,1,15,0.0,0.0,41.006
vehicle,1,16,0.0,0.0,42.320249999999994
vehicle,1,17,0.0,0.0,44.815750000000016
vehicle,1,18,0.0,0.0,47.20275000000001
vehicle,1,19,0.0,0.0,46.17725
vehicle,1,20,0.0,0.0,44.92075
vehicle,1,21,0.0,0.0,43.9425
vehicle,1,22,0.0,0.0,42.850500000000004
vehicle,1,23,0.0,0.0,41.06725
vehicle,1,24,0.0,0.0,38.976000000000006
