Hour,pr_e,pr_fre_u,pr_fre_d
0,35.68731217212153,2.7039157270969736,0.0007777030026413668
1,35.68731217212153,2.7026810469662763,0.0005787861068105055
2,35.68731217212153,2.7008314541483154,0.0005787861068105055
3,35.68731217212153,2.699937345458107,0.0005787861068105055
4,35.68731217212153,2.7152639008078343,0.0007777030026413668
5,35.68731217212153,2.7726193490191693,0.00098460980635696
6,35.68731217212153,2.837468286457417,0.0009962192295314939
7,35.68731217212153,2.804374999153381,8.0
8,35.68731217212153,2.6594677462018343,0.0009962192295314939
9,35.68731217212153,0.004936555654293609,8.0
10,35.68731217212153,0.00186112322224073,8.0
11,35.68731217212153,0.00186112322224073,8.0
12,35.68731217212153,2.294995326293332,8.0
13,35.68731217212153,2.5466437961516224,8.0
14,35.68731217212153,2.659482393782324,8.0
15,35.68731217212153,2.8054551287410487,8.0
16,35.68731217212153,2.837468286457417,8.0
17,35.68731217212153,3.064201474739951,8.0
18,65.96879940153269,3.208731217212153,8.0
19,35.68731217212153,3.1097487367910834,8.0
20,35.68731217212153,3.0561295143279006,8.0
21,35.68731217212153,2.837468286457417,8.0
22,35.68731217212153,2.837468286457417,8.0
23,35.68731217212153,2.837468286457417,8.0
