Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,50.36072399999998
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,136.3
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,125.325
vehicle,1,11,0.0,0.0,120.145
vehicle,1,12,0.0,0.0,116.45000000000002
vehicle,1,13,0.0,0.0,115.48
vehicle,1,14,0.0,0.0,116.69000000000005
vehicle,1,15,0.0,0.0,120.06000000000006
vehicle,1,16,0.0,0.0,127.33500000000002
vehicle,1,17,0.0,0.0,138.99999999999997
vehicle,1,18,0.0,0.0,150.54500000000004
vehicle,1,19,0.0,0.0,151.67000000000004
vehicle,1,20,0.0,0.0,149.685
vehicle,1,21,0.0,0.0,145.81
vehicle,1,22,0.0,0.0,138.56499999999997
vehicle,1,23,0.0,0.0,128.36
vehicle,1,24,0.0,0.0,119.28
