Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6926.01,0.22405946081239317,696.8151562706694
vehicle,1,2,6916.98,0.0,1271.503398161296
vehicle,1,3,6919.99,0.0,988.1557688983748
vehicle,1,4,6913.969999999998,0.0,1222.1665827340735
vehicle,1,5,6828.83,0.0,10180.515005144634
vehicle,1,6,6717.459999999999,0.0,13190.271343827739
vehicle,1,7,6718.009886889584,0.0,0.0
vehicle,1,8,6392.81,0.0,10451.089586217999
vehicle,1,9,6731.649999999999,0.0,0.0
vehicle,1,10,6856.780000000002,0.0,8205.670760537907
vehicle,1,11,6948.499,0.0,1996.2091348169363
vehicle,1,12,7000.4,0.0,3360.1247601164305
vehicle,1,13,6966.859999999999,0.0,2204.669040828406
vehicle,1,14,6972.02,0.0,15716.047829718322
vehicle,1,15,6937.619999999999,0.0,14794.388845384146
vehicle,1,16,6348.09,0.0,8679.188825381681
vehicle,1,17,6477.95,0.0,6761.857196294606
vehicle,1,18,6158.03,0.0,5886.999766410779
vehicle,1,19,6612.1100000000015,0.0,6028.302209183382
vehicle,1,20,6369.59,0.0,5099.752997085019
vehicle,1,21,6671.88,0.0,5120.544840920507
vehicle,1,22,6603.82011311042,0.0,5369.689055720917
vehicle,1,23,6785.822934059749,0.0,5827.135882640282
vehicle,1,24,6633.697429280451,0.0,30967.65001017993
