Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,8514.0,0.0,15.974496388688005
vehicle,1,2,8514.0,0.0,127.76996943537577
vehicle,1,3,8514.0,0.0,23.91921282466035
vehicle,1,4,8514.0,0.0,411.94848061619484
vehicle,1,5,8428.86,0.0,13897.524085571837
vehicle,1,6,8115.103333333333,0.0,19601.19051033291
vehicle,1,7,7967.685000000002,0.0,0.0
vehicle,1,8,7453.2975,0.0,12147.346772146826
vehicle,1,9,8023.656666666669,0.0,0.0
vehicle,1,10,7993.699999999999,0.0,9391.537552317337
vehicle,1,11,7998.43,0.0,557.2047933650373
vehicle,1,12,7951.129999999999,0.0,169.81438806053083
vehicle,1,13,7889.64,0.0,153.92649136820276
vehicle,1,14,7705.170000000001,0.0,21493.51453018682
vehicle,1,15,7757.200000000001,0.0,18891.16927547243
vehicle,1,16,7254.6375,0.0,8990.954132603274
vehicle,1,17,7559.7225,0.0,6763.357607008616
vehicle,1,18,7303.12,0.0,5454.7390413274825
vehicle,1,19,8036.27,0.0,6008.630402774452
vehicle,1,20,7743.010000000001,0.0,5632.924457839554
vehicle,1,21,8321.64666666667,0.0,5762.306434609492
vehicle,1,22,8159.249999999999,0.0,5973.228504411589
vehicle,1,23,8439.502499999999,0.0,5742.800326339925
vehicle,1,24,8514.0,0.0,48805.82696701667
