Hour,pr_e,pr_fre_u,pr_fre_d
0,30.790494773149202,2.689031255521112,10.0
1,30.790494773149202,2.6843548631021843,10.0
2,30.790494773149202,2.668058799181161,10.0
3,30.790494773149202,2.6660749703112274,10.0
4,30.790494773149202,2.6665382609125037,10.0
5,30.790494773149202,2.6847350300649904,10.0
6,30.790494773149202,2.71904947731492,2.6594677462018343
7,30.790494773149202,2.71904947731492,10.0
8,30.457377442501222,2.683143550476259,2.6616694532098832
9,30.457377442501222,2.660198171681784,10.0
10,30.457377442501222,2.6638171251961857,10.0
11,30.457377442501222,2.667376148505184,10.0
12,30.457377442501222,2.6668512645484324,10.0
13,30.457377442501222,2.6595900715582688,10.0
14,30.457377442501222,2.5429846599080306,10.0
15,30.457377442501222,2.6595900715582688,10.0
16,30.457377442501222,2.6660749703112274,10.0
17,31.99924611268811,2.7006803108336865,10.0
18,59.75677719245546,2.8399246112688115,10.0
19,59.75677719245546,2.8399246112688115,10.0
20,31.987799466137552,2.8387799466137547,10.0
21,31.98282520753049,2.8382825207530487,10.0
22,30.60831454148315,2.7008314541483154,10.0
23,30.511499784796893,2.6870914922975584,10.0
