Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,412.95793680000054,0.0,35.91350000000002
vehicle,1,2,261.5959830000001,0.0,35.22575
vehicle,1,3,534.0306798478385,0.0,34.811000000000014
vehicle,1,4,397.84971960000604,0.0,35.0105
vehicle,1,5,371.11911661018627,0.0,36.226749999999996
vehicle,1,6,485.421423,0.0,38.85350000000001
vehicle,1,7,323.2878699000028,0.0,0.0
vehicle,1,8,0.0,0.0,44.18225
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,41.938750000000006
vehicle,1,11,0.0,0.0,40.93775
vehicle,1,12,0.0,0.0,40.46000000000001
vehicle,1,13,0.0,0.0,40.4285
vehicle,1,14,0.0,0.0,41.00775000000002
vehicle,1,15,0.0,0.0,41.3525
vehicle,1,16,0.0,0.0,42.04900000000002
vehicle,1,17,0.0,0.0,43.74999999999999
vehicle,1,18,0.0,0.0,46.675999999999995
vehicle,1,19,1501.2462632749362,0.0,49.58975
vehicle,1,20,996.7541126670459,0.0,49.02625000000001
vehicle,1,21,1036.9466311263748,0.0,47.63675
vehicle,1,22,889.3034367129653,0.0,45.15875
vehicle,1,23,0.0,0.0,41.874
vehicle,1,24,0.0,0.0,39.45472079708554
