Hour,pr_e,pr_fre_u,pr_fre_d
0,34.68544717673565,2.667638754395772,8.0
1,34.68544717673565,2.667376148505184,8.0
2,34.68544717673565,2.6843548631021843,8.0
3,34.68544717673565,2.6857377442501225,8.0
4,34.68544717673565,2.704443717493476,8.0
5,34.68544717673565,2.704443717493476,8.0
6,34.68544717673565,2.8776190356555844,0.0010073879704940332
7,34.68544717673565,2.6594677462018343,8.0
8,31.99924611268811,2.5429846599080306,0.0010654587888237882
9,31.99924611268811,0.002079945380291471,8.0
10,31.99924611268811,0.0017519511851640413,8.0
11,31.99924611268811,0.0015046772552772415,8.0
12,31.99924611268811,0.0015435411455903987,8.0
13,31.99924611268811,0.0017770943921310844,8.0
14,31.99924611268811,0.002079945380291471,8.0
15,31.99924611268811,0.004913915706944775,8.0
16,46.489480212947996,2.659482393782324,8.0
17,59.75677719245546,4.2019480212948,8.0
18,65.98064009740949,4.2019480212948,8.0
19,65.93036297419548,9999.0,8.0
20,65.93036297419548,4.2019480212948,8.0
21,59.75677719245546,4.2019480212948,8.0
22,38.01988562992075,2.7831198855203017,8.0
23,38.01988562992075,2.7260082489679984,8.0
