Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,19.58472600000005,0.0,107.40499999999999
vehicle,1,2,0.0,0.0,104.665
vehicle,1,3,13.149744600005807,0.0,103.765
vehicle,1,4,0.0,0.0,104.685
vehicle,1,5,0.0,0.0,108.43500000000002
vehicle,1,6,19.584726,0.0,116.49999999999999
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,19.584726,0.0,133.105
vehicle,1,9,9.79236300000012,0.0,0.0
vehicle,1,10,18.185817000006004,0.0,122.53499999999998
vehicle,1,11,0.0,0.0,117.34
vehicle,1,12,19.584726,0.0,114.72
vehicle,1,13,0.0,0.0,112.88500000000002
vehicle,1,14,0.0,0.0,112.60500000000002
vehicle,1,15,0.0,0.0,113.44
vehicle,1,16,0.0,0.0,117.445
vehicle,1,17,0.0,0.0,123.04500000000002
vehicle,1,18,487.22476126315036,0.0,135.53
vehicle,1,19,417.92381162146376,0.0,144.705
vehicle,1,20,1245.7048684002982,0.0,143.3
vehicle,1,21,956.359554568926,0.0,140.20000000000005
vehicle,1,22,699.03131216419,0.0,133.46999999999997
vehicle,1,23,2401.2561328852385,0.0,123.61000000000001
vehicle,1,24,2400.1973994036593,0.0,115.35777370595667
