Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,39.520250000000004
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,15.364357809009086
vehicle,1,11,0.0,0.0,36.80075
vehicle,1,12,0.0,0.0,35.5915
vehicle,1,13,0.0,0.0,35.462
vehicle,1,14,0.0,0.0,35.02625
vehicle,1,15,0.0,0.0,34.96325
vehicle,1,16,0.0,0.0,36.295
vehicle,1,17,0.0,0.0,38.472
vehicle,1,18,0.0,0.0,42.40075000000001
vehicle,1,19,0.0,0.0,45.24625
vehicle,1,20,0.0,0.0,45.083499999999994
vehicle,1,21,0.0,0.0,44.59174999999999
vehicle,1,22,0.0,0.0,43.160250000000005
vehicle,1,23,0.0,0.0,40.992
vehicle,1,24,0.0,0.0,38.34600000000002
