Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,138.14
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,125.61500000000005
vehicle,1,11,0.0,0.0,119.56
vehicle,1,12,0.0,0.0,114.91000000000007
vehicle,1,13,0.0,0.0,112.61500000000007
vehicle,1,14,0.0,0.0,112.89
vehicle,1,15,0.0,0.0,113.34000000000003
vehicle,1,16,0.0,0.0,116.105
vehicle,1,17,0.0,0.0,123.67
vehicle,1,18,0.0,0.0,136.115
vehicle,1,19,0.0,0.0,144.57500000000002
vehicle,1,20,0.0,0.0,144.14
vehicle,1,21,0.0,0.0,141.645
vehicle,1,22,0.0,0.0,135.41
vehicle,1,23,0.0,0.0,126.295
vehicle,1,24,0.0,0.0,117.975
