Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6151.15,0.0,600.3979260092301
vehicle,1,2,6154.16,0.0,530.6671558261461
vehicle,1,3,6166.2,0.0,585.3183889130348
vehicle,1,4,6157.17,0.0,882.3801813305948
vehicle,1,5,6063.215,0.0,5057.299251014091
vehicle,1,6,5903.9,0.0,5703.808728819397
vehicle,1,7,5914.22,0.0,0.0
vehicle,1,8,5735.505515561468,0.0,6755.725372340599
vehicle,1,9,6502.03,0.0,0.0
vehicle,1,10,6720.9,0.0,4932.239929989982
vehicle,1,11,6816.4890000000005,0.0,4572.09082785348
vehicle,1,12,6889.03,0.0,5749.284196463687
vehicle,1,13,6702.410000000001,0.0,5399.902099212656
vehicle,1,14,6599.242252747527,0.0,6430.216922152488
vehicle,1,15,6585.936606759352,0.0,6533.183839946171
vehicle,1,16,6133.323603466635,0.0,8150.642638646244
vehicle,1,17,6016.13,0.0,9249.805145560378
vehicle,1,18,5560.261965397248,0.0,6684.392435825051
vehicle,1,19,6079.34,0.0,7708.4977720282695
vehicle,1,20,5881.6691273678525,0.0,4798.663697861843
vehicle,1,21,6107.72,0.0,5944.301469070622
vehicle,1,22,5943.449223202408,0.0,5680.211558196985
vehicle,1,23,6054.4,0.0,10551.61464412617
vehicle,1,24,6062.172938287596,0.0,39651.39667789107
