Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,8514.0,0.0,15.974496388688005
vehicle,1,2,8514.0,0.0,127.76996943537577
vehicle,1,3,8514.0,0.0,4.149344119151976
vehicle,1,4,8514.0,0.0,381.2652254722468
vehicle,1,5,8428.86,0.0,12873.98270527608
vehicle,1,6,8054.134022633746,0.0,21090.273617136692
vehicle,1,7,7853.809155092596,0.0,0.0
vehicle,1,8,7374.390260416669,0.0,12029.42754212148
vehicle,1,9,7966.986692386832,0.0,0.0
vehicle,1,10,7932.969135802469,0.0,9905.775985609007
vehicle,1,11,7912.716998456791,0.0,437.81476659095694
vehicle,1,12,7889.906427469136,0.0,166.7552889280961
vehicle,1,13,7816.171712962966,0.0,170.92517444494092
vehicle,1,14,7506.805625,0.0,25877.12587833441
vehicle,1,15,7681.286419753088,0.0,17827.696900894374
vehicle,1,16,7171.205555555555,0.0,9623.164558631046
vehicle,1,17,7505.634074074076,0.0,6897.047552953898
vehicle,1,18,7214.096728395063,0.0,5475.344163406276
vehicle,1,19,7970.940524691358,0.0,6017.310436979007
vehicle,1,20,7576.00012345679,0.0,5727.035806787667
vehicle,1,21,8288.994094650208,0.0,5842.7262474705885
vehicle,1,22,8122.515856481482,0.0,6100.396669353711
vehicle,1,23,8429.52515625,0.0,5827.940326339927
vehicle,1,24,8514.0,0.0,42228.962227674034
