DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[0.0],[6479512.326515621],[0.0],[1969305.5488224914],[8448817.875338111]
[0.0],[6782313.919297031],[0.0],[1961046.5105773108],[8743360.429874342]
[0.0],[6563801.437489146],[0.0],[1959401.7605773103],[8523203.198066456]
[0.0],[6645747.992103048],[0.0],[1959658.7298748554],[8605406.721977903]
[0.0],[6163122.323887171],[0.0],[1960788.0249630075],[8123910.3488501785]
[0.0],[6179983.177829895],[0.0],[1961045.965489158],[8141029.143319054]
[0.0],[6404977.862656357],[0.0],[1950993.0233595285],[8355970.8860158855]
[0.0],[6575691.571211398],[0.0],[1952186.6565762467],[8527878.227787644]
[0.0],[6648497.425864324],[0.0],[1961561.8036177238],[8610059.229482047]
[0.0],[6551016.3062979635],[0.0],[1957058.2857090682],[8508074.592007032]
[0.0],[6504746.253700605],[0.0],[1950754.2525036316],[8455500.506204236]
