Hour,pr_e,pr_fre_u,pr_fre_d
0,30.62063328024409,2.6863489075000864,10.0
1,30.62063328024409,2.6829038174265727,10.0
2,30.62063328024409,2.6660749703112274,10.0
3,30.62063328024409,2.6616694532098832,10.0
4,30.62063328024409,2.6638171251961857,10.0
5,30.62063328024409,2.6829038174265727,10.0
6,30.62063328024409,2.6853193650087115,2.5466437961516224
7,30.62063328024409,2.6847350300649904,10.0
8,30.62063328024409,2.6668512645484324,2.6595900715582688
9,30.62063328024409,2.659482393782324,10.0
10,30.62063328024409,2.66175417304156,10.0
11,30.62063328024409,2.6660749703112274,10.0
12,30.62063328024409,2.6660749703112274,10.0
13,30.62063328024409,2.659482393782324,10.0
14,30.62063328024409,2.5429846599080306,10.0
15,30.62063328024409,2.6595900715582688,10.0
16,30.62063328024409,2.6853193650087115,10.0
17,65.95146552087236,2.8374319322933066,10.0
18,59.291361470598616,2.8374319322933066,10.0
19,31.97431932293307,2.7079687948625755,10.0
20,30.629221818511574,2.7026810469662763,10.0
21,30.51788512384381,2.6870914922975584,10.0
22,30.51788512384381,2.668058799181161,10.0
23,30.51788512384381,2.6595900715582688,10.0
