Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,9.79236300000009,0.0,103.205
vehicle,1,2,0.0,0.0,99.20000000000003
vehicle,1,3,9.792363,0.0,96.635
vehicle,1,4,0.0,0.0,95.65499999999994
vehicle,1,5,0.0,0.0,97.40999999999998
vehicle,1,6,68.54654100000485,0.0,102.1
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,41.54759730000244,0.0,108.945
vehicle,1,9,28.77195391432234,0.0,0.0
vehicle,1,10,39.169452,0.0,106.755
vehicle,1,11,15.387999000006264,0.0,105.245
vehicle,1,12,0.0,0.0,104.05
vehicle,1,13,0.0,0.0,103.12
vehicle,1,14,29.377089,0.0,103.175
vehicle,1,15,19.584726,0.0,103.84500000000001
vehicle,1,16,12.730071900002137,0.0,106.525
vehicle,1,17,0.0,0.0,112.05271530127669
vehicle,1,18,1205.956687272824,0.0,122.555
vehicle,1,19,1647.2675004916975,0.0,125.705
vehicle,1,20,862.369402080275,0.0,123.39000000000004
vehicle,1,21,872.6110616857602,0.0,120.34
vehicle,1,22,825.762257694207,0.0,115.55
vehicle,1,23,1188.2925911827642,0.0,110.23377089000005
vehicle,1,24,1380.474817192588,0.0,103.82377088999999
