Hour,pr_e,pr_fre_u,pr_fre_d
0,57.557345299164254,2.7062931913659405,8.0
1,57.557345299164254,2.7039157270969736,8.0
2,57.557345299164254,2.7079687948625755,8.0
3,57.557345299164254,2.6917885123843805,8.0
4,57.557345299164254,2.7062931913659405,8.0
5,57.557345299164254,2.704443717493476,8.0
6,57.557345299164254,3.0561295143279006,0.0009962192295314939
7,80.94115671514403,5.308734529916426,8.0
8,80.94115671514403,5.308734529916426,0.0013327824985744595
9,59.30934319913884,5.308734529916426,8.0
10,57.557345299164254,4.206808767760487,8.0
11,57.557345299164254,2.8776190356555844,8.0
12,57.557345299164254,2.7372528726663106,8.0
13,57.557345299164254,2.7361192127036897,8.0
14,57.557345299164254,3.437718236720343,8.0
15,75.68295771118191,3.009616697644561,8.0
16,114.94502657076549,5.308734529916426,8.0
17,80.94115671514403,3.0119914469525906,8.0
18,66.19592949258082,5.308734529916426,8.0
19,66.19592949258082,5.308734529916426,8.0
20,66.19592949258082,5.308734529916426,8.0
21,66.19592949258082,4.2019480212948,8.0
22,66.19592949258082,5.308734529916426,8.0
23,66.19592949258082,5.308734529916426,8.0
