Hour,pr_e,pr_fre_u,pr_fre_d
0,35.87008997149773,2.7372528726663106,12.0
1,35.87008997149773,2.7256220505834703,12.0
2,35.87008997149773,2.7256220505834703,12.0
3,35.87008997149773,2.7256220505834703,12.0
4,35.87008997149773,2.727942877453496,12.0
5,35.87008997149773,2.7831198855203017,12.0
6,35.87008997149773,3.064018647570037,0.0005486228111083897
7,35.87008997149773,2.772386520102386,12.0
8,35.87008997149773,2.5429846599080306,0.0005486228111083897
9,35.87008997149773,0.0010073879704940332,12.0
10,35.87008997149773,0.0010654587888237882,12.0
11,35.87008997149773,0.0010123572919188203,12.0
12,35.87008997149773,0.0009962192295314939,12.0
13,35.87008997149773,0.0009962192295314939,12.0
14,35.87008997149773,0.0009962192295314939,12.0
15,35.87008997149773,2.5429846599080306,12.0
16,48.172500384431835,2.7478489029333817,12.0
17,65.96367213598542,4.411699743119164,12.0
18,65.95146552087236,4.411699743119164,12.0
19,65.94914582290343,4.411699743119164,12.0
20,65.94914582290343,4.411699743119164,12.0
21,59.312187738365,4.370250038443183,12.0
22,48.58699743119164,4.206808767760487,12.0
23,43.48694595545414,3.064018647570037,12.0
