Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,36.12
vehicle,1,2,0.0,0.0,36.03950000000001
vehicle,1,3,0.0,0.0,35.48125
vehicle,1,4,0.0,0.0,30.10000000000001
vehicle,1,5,0.0,0.0,25.799999999996775
vehicle,1,6,0.0,0.0,9.03
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,30.95999999999999
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,42.9345
vehicle,1,11,0.0,0.0,30.95999999999999
vehicle,1,12,0.0,0.0,39.907
vehicle,1,13,0.0,0.0,39.04600000000001
vehicle,1,14,0.0,0.0,39.067000000000014
vehicle,1,15,0.0,0.0,39.7425
vehicle,1,16,0.0,0.0,41.54675
vehicle,1,17,0.0,0.0,45.069500000000005
vehicle,1,18,0.0,0.0,50.015
vehicle,1,19,0.0,0.0,50.984500000000004
vehicle,1,20,0.0,0.0,50.69925
vehicle,1,21,0.0,0.0,49.945
vehicle,1,22,0.0,0.0,47.908
vehicle,1,23,0.0,0.0,44.78775
vehicle,1,24,0.0,0.0,41.783
