DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
548257.5733023987,0.0,0.0,14683.385764958404,-533574.1875374402
665541.7068977223,0.0,0.0,16229.840000000004,-649311.8668977224
649175.3192286023,0.0,0.0,16849.925792000005,-632325.3934366023
685789.0742633587,0.0,0.0,15528.605792000002,-670260.4684713588
537666.4882116574,0.0,0.0,16041.531584,-521624.9566276574
533482.5238600769,0.0,0.0,14443.880000000001,-519038.6438600769
601172.2443361243,0.0,0.0,16290.680000000008,-584881.5643361242
643898.816420146,0.0,0.0,16260.480000000007,-627638.336420146
521616.6557853592,0.0,0.0,16132.000000000002,-505484.6557853592
657067.4166769916,0.0,0.0,14939.520000000008,-642127.8966769916
677606.1820031644,0.0,0.0,16141.680000000006,-661464.5020031644
