Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,126.09
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,122.57500000000002
vehicle,1,11,0.0,0.0,100.72144799999997
vehicle,1,12,0.0,0.0,119.40499999999999
vehicle,1,13,0.0,0.0,117.57999999999998
vehicle,1,14,0.0,0.0,115.705
vehicle,1,15,0.0,0.0,114.22500000000004
vehicle,1,16,0.0,0.0,116.34
vehicle,1,17,0.0,0.0,122.78000000000003
vehicle,1,18,0.0,0.0,132.905
vehicle,1,19,0.0,0.0,134.99999999999997
vehicle,1,20,0.0,0.0,132.23500000000004
vehicle,1,21,0.0,0.0,128.885
vehicle,1,22,0.0,0.0,124.055
vehicle,1,23,0.0,0.0,118.34
vehicle,1,24,0.0,0.0,110.985
