Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,41.996500000000005
vehicle,1,2,3.01,0.0,40.64900000000001
vehicle,1,3,5.160000000004223,0.0,40.06100000000001
vehicle,1,4,0.0,0.0,40.78375000000002
vehicle,1,5,3.01,0.0,42.74024999999999
vehicle,1,6,9.030000000000069,0.0,44.8455
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,47.86425000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,49.427
vehicle,1,11,0.0,0.0,49.83824999999998
vehicle,1,12,0.0,0.0,50.888250000000006
vehicle,1,13,0.0,0.0,52.787000000000006
vehicle,1,14,0.0,0.0,54.95175000000002
vehicle,1,15,0.0,0.0,57.05524999999999
vehicle,1,16,0.0,0.0,58.73875
vehicle,1,17,0.0,0.0,59.68062658588439
vehicle,1,18,0.0,0.0,59.18325
vehicle,1,19,998.6750000000128,0.0,58.029999999999994
vehicle,1,20,638.3585274134879,0.0,56.60900000000001
vehicle,1,21,72.2830000000224,0.0,53.91925000000002
vehicle,1,22,80.32400000000251,0.0,49.89250000000001
vehicle,1,23,78.26,0.0,46.07410500000002
vehicle,1,24,66.21999999999998,0.0,43.088605000000015
