Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,115.01000000000013
vehicle,1,2,0.0,0.0,112.09500000000001
vehicle,1,3,0.0,0.0,111.33000000000001
vehicle,1,4,0.0,0.0,113.95
vehicle,1,5,0.0,0.0,119.655
vehicle,1,6,0.0,0.0,125.92
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,134.645
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,139.34000000000077
vehicle,1,11,0.0,0.0,143.45000000000002
vehicle,1,12,0.0,0.0,147.58
vehicle,1,13,0.0,0.0,152.25500000000002
vehicle,1,14,0.0,0.0,157.94500000000008
vehicle,1,15,0.0,0.0,164.76000000000013
vehicle,1,16,0.0,0.0,170.585
vehicle,1,17,0.0,0.0,174.5627153012768
vehicle,1,18,0.0,0.0,174.085
vehicle,1,19,0.0,0.0,0.0
vehicle,1,20,0.0,0.0,166.63
vehicle,1,21,0.0,0.0,0.0
vehicle,1,22,0.0,0.0,144.935
vehicle,1,23,0.0,0.0,134.43877089
vehicle,1,24,0.0,0.0,126.88877088999999
