Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,18.06
vehicle,1,2,0.0,0.0,18.06
vehicle,1,3,0.0,0.0,18.06
vehicle,1,4,0.0,0.0,18.06
vehicle,1,5,0.0,0.0,18.06
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,46.44
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,57.82525000000001
vehicle,1,11,0.0,0.0,59.7905
vehicle,1,12,0.0,0.0,62.5065
vehicle,1,13,0.0,0.0,65.5935
vehicle,1,14,0.0,0.0,68.523
vehicle,1,15,0.0,0.0,71.04475000000004
vehicle,1,16,0.0,0.0,72.59
vehicle,1,17,0.0,0.0,72.98900000000002
vehicle,1,18,0.0,0.0,71.76749999999998
vehicle,1,19,0.0,0.0,69.8985
vehicle,1,20,0.0,0.0,67.72325000000001
vehicle,1,21,0.0,0.0,63.78575
vehicle,1,22,0.0,0.0,58.394
vehicle,1,23,0.0,0.0,53.5885
vehicle,1,24,0.0,0.0,50.102500000000006
