DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
458840.0501364595,0.0,0.0,19321.34576495841,-439518.7043715011
441248.87701669836,0.0,0.0,18814.560000000005,-422434.31701669836
456346.8703950007,0.0,0.0,18214.800000000003,-438132.0703950007
328684.56219378195,0.0,0.0,16227.2,-312457.36219378194
476728.846996636,0.0,0.0,18096.960000000003,-458631.886996636
426309.56351400167,0.0,0.0,17239.36,-409070.2035140017
436627.93811898597,0.0,0.0,15947.200000000003,-420680.73811898596
315992.65556598303,0.0,0.0,17917.285792000002,-298075.369773983
516938.3578033369,0.0,0.0,18462.040000000008,-498476.3178033369
464720.1642005206,0.0,0.0,19007.565792,-445712.59840852063
504104.02408747526,0.0,0.0,21046.065764958417,-483057.9583225169
575560.8670208075,0.0,0.0,20876.191556958405,-554684.6754638491
507956.24657976854,0.0,0.0,19319.068559242645,-488637.1780205259
554719.3068670516,0.0,0.0,18975.58098832941,-535743.7258787223
455707.82599196304,0.0,0.0,21348.42380632623,-434359.4021856368
653004.5689689977,0.0,0.0,21198.880000000005,-631805.6889689977
452266.7727437123,0.0,0.0,20625.635490412093,-431641.1372533002
646179.9130336784,0.0,0.0,19708.285792000002,-626471.6272416784
515031.05557615263,0.0,0.0,19381.08000000001,-495649.9755761526
