DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[141456.9445573047],[100663.24495188502],[0.0],[10465.781406372087],[-30327.91819904759]
[159600.96962472913],[80247.06879897087],[0.0],[10188.108000000002],[-69165.79282575825]
[150921.84818666938],[73481.8282671862],[0.0],[11532.997039030612],[-65907.02288045257]
[173968.39686476256],[122256.85182603421],[0.0],[12471.102],[-39240.44303872835]
[141278.22986524313],[109697.54081189251],[0.0],[13010.411054544604],[-18570.27799880602]
[152627.91437215713],[84576.53167116363],[0.0],[12073.927460916688],[-55977.455240076815]
[149581.58014763863],[80199.33248732911],[0.0],[11430.307039030613],[-57951.9406212789]
[161218.0375052925],[124546.75390052583],[0.0],[11082.348445402698],[-25588.935159363988]
[149388.24826964753],[163553.11009601358],[0.0],[11858.666054544603],[26023.52788091064]
[301606.9228435036],[326491.6915568241],[0.0],[14674.611000000003],[39559.379713320464]
[320576.95011944935],[319142.4503694258],[0.0],[15462.907460916693],[14028.407710893138]
[167995.5422972755],[135273.11216980842],[0.0],[14826.554054544604],[-17895.87607292249]
[294151.9235512283],[35524.83538634326],[559.2627770817871],[12519.024000000001],[-245548.80138780328]
[153929.255114278],[75431.79171635957],[0.0],[12185.646445402701],[-66311.81695251573]
[154523.56021642807],[70600.93374613854],[0.0],[11155.0504454027],[-72767.57602488683]
[155215.83558678493],[77731.2495065811],[0.0],[10684.1044454027],[-66800.48163480114]
[178174.5230547225],[128393.26602204322],[0.0],[12256.678039030616],[-37524.57899364867]
[153612.99553402624],[77923.78372149351],[0.0],[12175.485000000004],[-63513.726812532725]
[141670.7310535241],[74944.25227296088],[0.0],[13008.961039030615],[-53717.5177415326]
[156990.66974400915],[103574.64896974908],[0.0],[12290.26946091669],[-41125.75131334338]
[143369.71712266526],[70891.84679692736],[0.0],[11650.233000000002],[-60827.63732573789]
[140442.96123922186],[106092.31456358338],[0.0],[11272.191000000003],[-23078.45567563847]
[140901.04663209192],[88221.44291937572],[0.0],[11649.3904454027],[-41030.21326731349]
[144336.33229933548],[125795.35600722083],[0.0],[12733.117460916688],[-5807.858831197955]
