Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,108.965
vehicle,1,2,0.0,0.0,105.505
vehicle,1,3,0.0,0.0,103.805
vehicle,1,4,0.0,0.0,103.84500000000001
vehicle,1,5,0.0,0.0,105.35000000000005
vehicle,1,6,0.0,0.0,107.85000000000005
vehicle,1,7,1837.8866442000037,0.0,0.0
vehicle,1,8,0.0,0.0,110.655
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,114.305
vehicle,1,11,0.0,0.0,117.425
vehicle,1,12,0.0,0.0,121.16500000000003
vehicle,1,13,0.0,0.0,125.955
vehicle,1,14,0.0,0.0,131.29
vehicle,1,15,0.0,0.0,135.475
vehicle,1,16,0.0,0.0,139.065
vehicle,1,17,0.0,0.0,142.28771530127676
vehicle,1,18,0.0,0.0,143.35
vehicle,1,19,0.0,0.0,143.835
vehicle,1,20,0.0,0.0,143.07500000000007
vehicle,1,21,5488.410552106872,0.0,138.49
vehicle,1,22,0.0,0.0,129.995
vehicle,1,23,0.0,0.0,121.00877089000001
vehicle,1,24,0.0,0.0,113.70377089000003
