Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,15.050000000000004
vehicle,1,4,0.0,0.0,12.608113110414738
vehicle,1,5,0.0,0.0,9.03
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,30.95999999999999
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,56.5285
vehicle,1,11,0.0,0.0,30.95999999999999
vehicle,1,12,0.0,0.0,21.92999999999953
vehicle,1,13,0.0,0.0,62.60625
vehicle,1,14,0.0,0.0,65.03875000000001
vehicle,1,15,0.0,0.0,67.20174999999999
vehicle,1,16,0.0,0.0,68.67
vehicle,1,17,0.0,0.0,69.02875
vehicle,1,18,0.0,0.0,68.05225000000003
vehicle,1,19,0.0,0.0,65.76674999999999
vehicle,1,20,0.0,0.0,63.357000000000006
vehicle,1,21,0.0,0.0,59.84650000000002
vehicle,1,22,0.0,0.0,54.410999999999994
vehicle,1,23,0.0,0.0,49.31500000000002
vehicle,1,24,0.0,0.0,46.03375
