Hour,pr_e,pr_fre_u,pr_fre_d
0,30.486055729324644,2.5466437961516224,0.0009785922106222782
1,30.486055729324644,2.659482393782324,0.0007777030026413668
2,30.486055729324644,2.6829038174265727,0.0007777030026413668
3,30.486055729324644,2.6853193650087115,0.0009785922106222782
4,31.97468286457417,2.837468286457417,0.0009785922106222782
5,31.97468286457417,2.660691992151889,8.0
6,29.066437961516232,2.837468286457417,0.0009962192295314939
7,26.54995326293332,0.00186112322224073,8.0
8,26.54995326293332,0.002214272733434408,2.294995326293332
9,26.54995326293332,0.0017770943921310844,8.0
10,26.54995326293332,0.0017770943921310844,8.0
11,26.54995326293332,0.0017770943921310844,8.0
12,26.54995326293332,0.00186112322224073,8.0
13,26.54995326293332,0.00186112322224073,8.0
14,26.54995326293332,0.002067150639027064,8.0
15,26.54995326293332,0.002239615375126088,8.0
16,30.27638754395772,2.659482393782324,8.0
17,31.97468286457417,2.6847350300649904,8.0
18,31.97468286457417,2.837468286457417,8.0
19,31.97468286457417,2.837468286457417,8.0
20,31.97468286457417,2.837468286457417,8.0
21,65.96367213598542,2.837468286457417,8.0
22,31.97468286457417,2.837468286457417,8.0
23,31.97468286457417,2.837468286457417,8.0
