Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,50.36072399999998
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,91.97894461980052
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,114.305
vehicle,1,11,0.0,0.0,117.425
vehicle,1,12,0.0,0.0,121.16500000000003
vehicle,1,13,0.0,0.0,125.955
vehicle,1,14,0.0,0.0,131.29
vehicle,1,15,0.0,0.0,135.475
vehicle,1,16,0.0,0.0,139.065
vehicle,1,17,0.0,0.0,141.94500000000002
vehicle,1,18,0.0,0.0,143.35
vehicle,1,19,0.0,0.0,143.835
vehicle,1,20,0.0,0.0,143.07500000000007
vehicle,1,21,0.0,0.0,138.49
vehicle,1,22,0.0,0.0,129.995
vehicle,1,23,0.0,0.0,120.71500000000002
vehicle,1,24,0.0,0.0,113.41
