DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5424633.288784711],[0.0],[1628162.0136904866],[7052795.302475197]
[0.0],[5253914.996320163],[0.0],[1589619.2572510496],[6843534.253571212]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5072025.933452014],[0.0],[1590201.6792415935],[6662227.612693608]
[0.0],[5651677.759827312],[2.240594608123932],[1627735.184182658],[7279415.184604578]
[0.0],[5447729.61343741],[0.0],[1563384.0174040226],[7011113.630841433]
[0.0],[0.0],[0.0],[0.0],[0.0]
[710.6347734585125],[1904913.7134098108],[0.0],[631762.9432866988],[2535966.021923051]
[0.0],[0.0],[0.0],[0.0],[0.0]
