Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,6769.92,0.0,493.2705576987675
vehicle,1,2,6769.92,0.0,487.5141123521485
vehicle,1,3,6769.92,0.0,441.79555248399777
vehicle,1,4,6769.92,0.0,796.9288585053943
vehicle,1,5,6751.86,0.0,6018.5012063765935
vehicle,1,6,6625.439999999999,0.0,6744.5929348707905
vehicle,1,7,6694.963829503008,0.0,0.0
vehicle,1,8,6692.95,0.0,7779.309306809849
vehicle,1,9,7254.96,0.0,0.0
vehicle,1,10,4997.232041393218,0.0,4439.531302599734
vehicle,1,11,5239.55,0.0,4493.973572156474
vehicle,1,12,5355.506914723874,0.0,5852.03188155493
vehicle,1,13,5597.00162431249,0.0,5421.132566592315
vehicle,1,14,5633.634579134383,0.0,4608.081173149815
vehicle,1,15,5237.722583041738,0.0,5556.976310443824
vehicle,1,16,5165.7780808989055,0.0,7564.855558722923
vehicle,1,17,5300.328322345264,0.0,6108.011703599436
vehicle,1,18,6421.62,0.0,5956.268457598639
vehicle,1,19,6922.5700000000015,0.0,6537.727308825298
vehicle,1,20,6511.49,0.0,6444.218457032224
vehicle,1,21,6643.753163742363,0.0,8157.846108775063
vehicle,1,22,6538.540779503233,0.0,6123.240919705889
vehicle,1,23,6583.800474634664,0.0,11826.759531462632
vehicle,1,24,6538.9233864677535,0.0,41498.6084943446
