Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,8514.0,0.0,10.134056225567976
vehicle,1,2,8514.0,0.0,15.839895699952388
vehicle,1,3,8514.0,0.0,9.053121109631558
vehicle,1,4,8514.0,0.0,399.84417147702675
vehicle,1,5,8428.86,0.0,7817.266600376755
vehicle,1,6,8149.789999999999,0.0,9301.242482993817
vehicle,1,7,8017.350000000001,0.0,0.0
vehicle,1,8,7527.795,0.0,11361.185084260309
vehicle,1,9,8055.190000000001,0.0,0.0
vehicle,1,10,8031.54,0.0,5524.247623530903
vehicle,1,11,8038.635,0.0,5578.575938263837
vehicle,1,12,7974.78,0.0,5729.254751365809
vehicle,1,13,7918.02,0.0,5626.559961389172
vehicle,1,14,7790.31,0.0,5487.2755415928605
vehicle,1,15,7804.5,0.0,5628.696927195549
vehicle,1,16,7329.135,0.0,5772.714726148152
vehicle,1,17,7598.745,0.0,5779.04193162439
vehicle,1,18,7357.515,0.0,5474.444435760666
vehicle,1,19,8074.11,0.0,5956.062253351196
vehicle,1,20,7847.069999999999,0.0,5711.038160143991
vehicle,1,21,8334.26,0.0,5673.853432293662
vehicle,1,22,8173.440000000001,0.0,5678.766731005292
vehicle,1,23,8450.145,0.0,17220.549946920688
vehicle,1,24,8514.0,0.0,76958.83805690485
