Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,122.29200000001089,0.0,33.918499999999995
vehicle,1,2,138.15900000000846,0.0,33.334
vehicle,1,3,134.1170000000068,0.0,33.292
vehicle,1,4,88.32200000001622,0.0,33.65775
vehicle,1,5,98.1772997619244,0.0,36.10775
vehicle,1,6,208.5069999999996,0.0,40.502
vehicle,1,7,225.2770000000006,0.0,0.0
vehicle,1,8,0.0,0.0,41.67100000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,39.836999999999996
vehicle,1,11,0.0,0.0,39.03725
vehicle,1,12,0.0,0.0,38.54900000000001
vehicle,1,13,0.0,0.0,38.136
vehicle,1,14,0.0,0.0,38.69775000000001
vehicle,1,15,0.0,0.0,39.54125
vehicle,1,16,0.0,0.0,40.88175000000001
vehicle,1,17,0.0,0.0,43.143126585884396
vehicle,1,18,0.0,0.0,45.43525
vehicle,1,19,0.0,0.0,47.545750000000005
vehicle,1,20,1248.7200000000419,0.0,46.6725
vehicle,1,21,0.0,0.0,44.2645
vehicle,1,22,0.0,0.0,40.766250000000014
vehicle,1,23,0.0,0.0,37.765105000000005
vehicle,1,24,0.0,0.0,35.92760500000001
