Hour,pr_e,pr_fre_u,pr_fre_d
0,30.801779035951956,2.7027376825255147,12.0
1,30.801779035951956,2.7006803108336865,12.0
2,30.801779035951956,2.699937345458107,12.0
3,30.801779035951956,2.7008314541483154,12.0
4,30.801779035951956,2.7008314541483154,12.0
5,30.801779035951956,2.71904947731492,12.0
6,30.679687948625755,2.5429846599080306,0.0005031074178736212
7,30.23817125196185,2.294995326293332,12.0
8,30.23817125196185,0.0009785922106222782,0.0012785900610706126
9,30.23817125196185,0.0009785922106222782,12.0
10,30.23817125196185,0.0009785922106222782,12.0
11,30.23817125196185,0.0009785922106222782,12.0
12,30.23817125196185,0.0009785922106222782,12.0
13,30.23817125196185,0.00098460980635696,12.0
14,30.23817125196185,0.0009962192295314939,12.0
15,30.23817125196185,0.00098460980635696,12.0
16,30.644437174934765,2.5466437961516224,12.0
17,31.461613931061923,2.704443717493476,12.0
18,65.93976916034526,2.8024042245225425,12.0
19,59.75677719245546,2.8024042245225425,12.0
20,31.624042245225425,2.7829619220830013,12.0
21,31.624042245225425,2.7752393394511383,12.0
22,31.624042245225425,2.7191489893678,12.0
23,31.624042245225425,2.7260082489679984,12.0
