Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,29.377089000000023,0.0,107.26
vehicle,1,2,48.961815000000016,0.0,103.595
vehicle,1,3,48.961815000000016,0.0,101.74000000000004
vehicle,1,4,39.169452,0.0,101.81
vehicle,1,5,68.54654099999999,0.0,104.41000000000005
vehicle,1,6,88.131267,0.0,110.825
vehicle,1,7,68.54654099999999,0.0,0.0
vehicle,1,8,139.4712273000205,0.0,126.28000000000003
vehicle,1,9,275.585073,0.0,0.0
vehicle,1,10,144.087627,0.0,122.83500000000002
vehicle,1,11,318.2517975000166,0.0,123.49000000000005
vehicle,1,12,92.327994,0.0,123.90500000000003
vehicle,1,13,65.748723,0.0,121.895
vehicle,1,14,116.24933790000749,0.0,124.16
vehicle,1,15,39.169452,0.0,126.165
vehicle,1,16,190.2516240000176,0.0,124.30499999999998
vehicle,1,17,65.748723,0.0,127.12499999999999
vehicle,1,18,163.9521348000058,0.0,135.005
vehicle,1,19,145.4865360000232,0.0,140.88000000000005
vehicle,1,20,170.66689800000003,0.0,139.16
vehicle,1,21,68.54654099999999,0.0,135.54500000000004
vehicle,1,22,857.531217000018,0.0,128.46500000000003
vehicle,1,23,1633.3215657819687,0.0,119.07500000000002
vehicle,1,24,3000.2401323000067,0.0,112.43500000000003
