DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[508967.11176043766],[295258.9609634842],[0.0],[20041.58218964766],[-193666.56860730582]
[492716.08720775286],[264723.88563015376],[0.0],[19394.722056650215],[-208597.4795209489]
[477739.00568902417],[0.0],[0.0],[18486.28205665022],[-459252.72363237396]
[496816.64895890956],[290053.61056043353],[0.0],[20391.80000000001],[-186371.23839847604]
[475282.25872123847],[266876.7649241118],[0.0],[21282.920000000002],[-187122.5737971267]
[496106.23192963446],[262009.45533991177],[0.0],[21215.74218964765],[-212881.03440007503]
[481572.43915268395],[224252.09188738297],[0.0],[20728.322056650217],[-236592.02520865077]
[441628.0711460466],[271655.84113594814],[0.0],[20391.22424629787],[-149581.00576380064]
[498288.71742555813],[299789.5512455319],[0.0],[19770.480000000003],[-178728.68618002627]
[0.0],[6159274.686923569],[0.0],[18862.48],[6178137.1669235695]
[520173.1851796719],[285310.33231417154],[0.0],[20792.50218964766],[-214070.35067585274]
[461472.4344979683],[0.0],[0.0],[20287.559999999998],[-441184.8744979683]
[428366.4181061604],[257770.67916936512],[0.0],[19481.960000000006],[-151113.7789367953]
[506426.6484122586],[301062.3839859816],[0.0],[19956.22424629787],[-185408.04017997917]
[463896.56908823375],[307455.80329414917],[0.0],[19299.024246297868],[-137141.7415477867]
[489347.9680279157],[296718.4359802283],[0.0],[18405.062189647655],[-174224.46985803975]
[8475.986857179818],[6224924.196184471],[0.0],[17915.202056650214],[6234363.411383942]
[517682.0969875007],[273042.2019730494],[0.0],[19860.642056650213],[-224779.25295780116]
[518302.71594367636],[244067.64326191015],[0.0],[20056.56205665021],[-254178.510625116]
[444836.1798601275],[0.0],[0.0],[20048.942189647656],[-424787.23767047987]
[399051.4804938156],[0.0],[0.0],[19911.520000000004],[-379139.9604938156]
[491151.9042197542],[0.0],[0.0],[19989.522056650218],[-471162.382163104]
[493735.43236361863],[0.0],[0.0],[18235.26424629787],[-475500.16811732075]
[102.5828189898909],[6163428.98455074],[0.0],[17435.06218964765],[6180761.463921398]
[525865.2659612524],[267310.3270889091],[0.0],[20086.662189647664],[-238468.2766826956]
[467721.56858177105],[249842.3626431481],[0.0],[19706.402056650215],[-198172.80388197274]
