Hour,pr_e,pr_fre_u,pr_fre_d
0,30.644437174934765,2.6843548631021843,8.0
1,30.644437174934765,2.660198171681784,8.0
2,30.644437174934765,2.659482393782324,8.0
3,30.644437174934765,2.6595900715582688,8.0
4,30.644437174934765,2.6616694532098832,8.0
5,30.644437174934765,2.6853193650087115,8.0
6,31.97468286457417,2.6594677462018343,0.0009962192295314939
7,25.338083721335938,0.00186112322224073,8.0
8,25.338083721335938,0.002079945380291471,0.0010654587888237882
9,25.338083721335938,0.0013327824985744595,8.0
10,25.338083721335938,0.0012785900610706126,8.0
11,25.338083721335938,0.0012785900610706126,8.0
12,25.338083721335938,0.0012785900610706126,8.0
13,25.338083721335938,0.0012785900610706126,8.0
14,25.338083721335938,0.0013327824985744595,8.0
15,25.338083721335938,0.0013327824985744595,8.0
16,25.338083721335938,0.0029194422673441147,8.0
17,31.97468286457417,2.6594677462018343,8.0
18,31.97468286457417,2.837468286457417,8.0
19,31.97468286457417,2.837468286457417,8.0
20,31.97468286457417,2.837468286457417,8.0
21,31.97468286457417,2.837468286457417,8.0
22,31.97468286457417,2.837468286457417,8.0
23,31.97468286457417,2.837468286457417,8.0
