Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,36.12
vehicle,1,2,0.0,0.0,35.35
vehicle,1,3,0.0,0.0,34.3315
vehicle,1,4,0.0,0.0,27.09
vehicle,1,5,0.0,0.0,34.24225
vehicle,1,6,0.0,0.0,3.01
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,37.428999999999995
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,15.479999999999995
vehicle,1,11,0.0,0.0,19.350000000002378
vehicle,1,12,0.0,0.0,39.469500000000004
vehicle,1,13,0.0,0.0,39.102000000000004
vehicle,1,14,0.0,0.0,38.65050000000001
vehicle,1,15,0.0,0.0,37.985499999999995
vehicle,1,16,0.0,0.0,38.16400000000001
vehicle,1,17,0.0,0.0,39.04600000000001
vehicle,1,18,0.0,0.0,41.79875000000002
vehicle,1,19,0.0,0.0,44.3275
vehicle,1,20,0.0,0.0,43.88125
vehicle,1,21,0.0,0.0,42.75075000000002
vehicle,1,22,0.0,0.0,41.20375
vehicle,1,23,0.0,0.0,39.2105
vehicle,1,24,0.0,0.0,36.98800000000001
