Hour,pr_e,pr_fre_u,pr_fre_d
0,30.972528726663104,2.6829038174265727,0.0006116632901213827
1,30.972528726663104,2.683143550476259,0.0005787861068105055
2,30.972528726663104,2.667638754395772,0.0005787861068105055
3,30.972528726663104,2.6847350300649904,0.0007777030026413668
4,30.972528726663104,2.6870914922975584,0.0009785922106222782
5,31.97468286457417,2.837468286457417,0.0009962192295314939
6,31.97468286457417,2.668058799181161,0.0010123572919188203
7,30.23817125196185,2.6594677462018343,8.0
8,30.20691992151889,0.002079945380291471,0.002667048693718774
9,30.20691992151889,0.0016841194349720091,8.0
10,30.20691992151889,0.0017770943921310844,8.0
11,30.20691992151889,0.0012785900610706126,8.0
12,30.20691992151889,0.0012785900610706126,8.0
13,30.20691992151889,0.0012785900610706126,8.0
14,30.20691992151889,0.0012785900610706126,8.0
15,30.20691992151889,0.0017770943921310844,8.0
16,30.20691992151889,2.5429846599080306,8.0
17,31.97468286457417,2.6594677462018343,8.0
18,31.97468286457417,2.837468286457417,8.0
19,59.75677719245546,2.837468286457417,8.0
20,65.9875266479465,2.837468286457417,8.0
21,31.97468286457417,2.837468286457417,8.0
22,31.97468286457417,2.837468286457417,8.0
23,31.97468286457417,2.837468286457417,8.0
