Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,107.79000000000073
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,100.70000000000003
vehicle,1,11,0.0,0.0,53.39640172132021
vehicle,1,12,0.0,0.0,94.735
vehicle,1,13,0.0,0.0,94.03000000000002
vehicle,1,14,0.0,0.0,94.51000000000003
vehicle,1,15,0.0,0.0,97.45499999999998
vehicle,1,16,0.0,0.0,101.14000000000071
vehicle,1,17,0.0,0.0,107.29
vehicle,1,18,0.0,0.0,116.085
vehicle,1,19,0.0,0.0,124.0
vehicle,1,20,0.0,0.0,123.30000000000001
vehicle,1,21,0.0,0.0,119.235
vehicle,1,22,0.0,0.0,112.875
vehicle,1,23,0.0,0.0,105.8
vehicle,1,24,0.0,0.0,100.605
