Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,106.82
vehicle,1,2,0.0,0.0,103.82000000000005
vehicle,1,3,0.0,0.0,101.26000000000003
vehicle,1,4,0.0,0.0,102.31500000000001
vehicle,1,5,0.0,0.0,109.90500000000002
vehicle,1,6,0.0,0.0,116.14
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,120.58000000000001
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,116.69000000000005
vehicle,1,11,0.0,0.0,115.95
vehicle,1,12,0.0,0.0,115.97500000000004
vehicle,1,13,0.0,0.0,117.33500000000005
vehicle,1,14,0.0,0.0,118.92000000000002
vehicle,1,15,0.0,0.0,120.69000000000001
vehicle,1,16,0.0,0.0,124.055
vehicle,1,17,0.0,0.0,129.49271530127672
vehicle,1,18,0.0,0.0,133.85
vehicle,1,19,0.0,0.0,138.67000000000004
vehicle,1,20,0.0,0.0,141.23
vehicle,1,21,0.0,0.0,135.165
vehicle,1,22,0.0,0.0,125.07000000000004
vehicle,1,23,0.0,0.0,115.81377089000001
vehicle,1,24,0.0,0.0,110.40877089000001
