Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,50.36072399999998
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,121.71500000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,120.905
vehicle,1,11,0.0,0.0,118.325
vehicle,1,12,0.0,0.0,117.775
vehicle,1,13,0.0,0.0,119.61
vehicle,1,14,0.0,0.0,122.22500000000004
vehicle,1,15,0.0,0.0,124.93500000000002
vehicle,1,16,0.0,0.0,129.04
vehicle,1,17,0.0,0.0,133.41000000000008
vehicle,1,18,0.0,0.0,136.06000000000003
vehicle,1,19,0.0,0.0,136.9
vehicle,1,20,0.0,0.0,138.67000000000004
vehicle,1,21,0.0,0.0,135.065
vehicle,1,22,0.0,0.0,126.57000000000002
vehicle,1,23,0.0,0.0,117.64
vehicle,1,24,0.0,0.0,111.035
