Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,42.097000000005636,0.0,35.22925000000001
vehicle,1,2,18.57600000000169,0.0,34.38050000000002
vehicle,1,3,33.110000000000035,0.0,34.006
vehicle,1,4,48.16,0.0,34.27025000000002
vehicle,1,5,18.44700000000329,0.0,35.45675
vehicle,1,6,46.09600000000215,0.0,37.226
vehicle,1,7,55.81400000000982,0.0,0.0
vehicle,1,8,0.0,0.0,38.75725
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,36.93724999999999
vehicle,1,11,0.0,0.0,36.19175
vehicle,1,12,0.0,0.0,35.81900000000001
vehicle,1,13,0.0,0.0,36.135749999999994
vehicle,1,14,0.0,0.0,37.20675
vehicle,1,15,0.0,0.0,38.63475000000001
vehicle,1,16,0.0,0.0,40.39175
vehicle,1,17,675.9600000000232,0.0,42.49387658588437
vehicle,1,18,661.7700000000068,0.0,44.268
vehicle,1,19,996.349790946714,0.0,43.82175000000001
vehicle,1,20,155.27300000000366,0.0,42.59499999999999
vehicle,1,21,0.0,0.0,41.06725
vehicle,1,22,0.0,0.0,38.874500000000005
vehicle,1,23,0.0,0.0,36.73085500000001
vehicle,1,24,0.0,0.0,34.97910500000001
