Hour,pr_e,pr_fre_u,pr_fre_d
0,34.166521786777174,2.727942877453496,12.0
1,34.166521786777174,2.7246550398748832,12.0
2,34.166521786777174,2.7246550398748832,12.0
3,34.166521786777174,2.7260082489679984,12.0
4,34.166521786777174,2.726776612014443,12.0
5,34.166521786777174,2.7752393394511383,12.0
6,34.166521786777174,2.704443717493476,0.0005031074178736212
7,33.56812418621412,2.5429846599080306,12.0
8,33.56812418621412,0.0009962192295314939,0.0013327824985744595
9,33.56812418621412,0.0009962192295314939,12.0
10,33.56812418621412,0.0009962192295314939,12.0
11,33.56812418621412,0.0009962192295314939,12.0
12,33.56812418621412,0.0009962192295314939,12.0
13,33.56812418621412,0.0010654587888237882,12.0
14,33.56812418621412,0.0009962192295314939,12.0
15,33.56812418621412,2.5429846599080306,12.0
16,34.24201474739951,2.7831198855203017,12.0
17,65.94633254168444,3.1431071601952603,12.0
18,65.93036297419548,3.1431071601952603,12.0
19,35.0310716019526,3.1431071601952603,12.0
20,34.24201474739951,3.064018647570037,12.0
21,33.56812418621412,2.9302453899116285,12.0
22,32.90245389911629,2.804374999153381,12.0
23,32.90245389911629,2.7465101517190664,12.0
