Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,36.35100000000002
vehicle,1,2,1.6770000000034258,0.0,35.378
vehicle,1,3,0.0,0.0,35.16975
vehicle,1,4,3.01,0.0,36.113
vehicle,1,5,3.01,0.0,38.79750000000002
vehicle,1,6,25.757000000003135,0.0,42.458499999999994
vehicle,1,7,14.19,0.0,0.0
vehicle,1,8,30.40100000000267,0.0,43.95475000000001
vehicle,1,9,63.640000000000065,0.0,0.0
vehicle,1,10,10.406000000001722,0.0,43.046499999999995
vehicle,1,11,16.7700000000198,0.0,42.56
vehicle,1,12,32.25,0.0,42.441
vehicle,1,13,3.01,0.0,43.26175
vehicle,1,14,45.58,0.0,44.2645
vehicle,1,15,12.04,0.0,45.47025000000001
vehicle,1,16,29.240000000000038,0.0,46.597249999999995
vehicle,1,17,20.21,0.0,47.87687658588439
vehicle,1,18,534.4437909467075,0.0,49.18899999999999
vehicle,1,19,611.3310000000056,0.0,49.287
vehicle,1,20,499.4602276515561,0.0,47.54400000000001
vehicle,1,21,0.0,0.0,44.87524999999999
vehicle,1,22,0.0,0.0,41.699
vehicle,1,23,0.0,0.0,38.934104999999995
vehicle,1,24,0.0,0.0,36.98985500000003
