Hour,pr_e,pr_fre_u,pr_fre_d
0,48.58699743119164,2.6847350300649904,8.0
1,48.58699743119164,2.6836834480486558,8.0
2,48.58699743119164,2.6595900715582688,8.0
3,48.58699743119164,2.6836834480486558,8.0
4,48.58699743119164,2.6917885123843805,8.0
5,48.58699743119164,2.6829038174265727,8.0
6,65.98832579636397,4.411699743119164,0.0009962192295314939
7,44.236483579482325,2.5466437961516224,8.0
8,44.236483579482325,2.660198171681784,0.0009962192295314939
9,44.236483579482325,2.6594677462018343,8.0
10,44.236483579482325,2.5429846599080306,8.0
11,44.236483579482325,2.5429846599080306,8.0
12,44.236483579482325,2.5429846599080306,8.0
13,44.236483579482325,2.5429846599080306,8.0
14,44.236483579482325,2.5429846599080306,8.0
15,44.236483579482325,2.5429846599080306,8.0
16,44.236483579482325,2.8024742502031614,8.0
17,44.236483579482325,2.9180343039180285,8.0
18,44.236483579482325,3.6170235094598566,8.0
19,59.312187738365,4.0636483579482325,8.0
20,59.75677719245546,4.0636483579482325,8.0
21,59.75677719245546,2.772386520102386,8.0
22,59.75677719245546,2.7079687948625755,8.0
23,59.75677719245546,4.0636483579482325,8.0
