Hour,pr_e,pr_fre_u,pr_fre_d
0,39.77023509459857,2.7268279843030907,8.0
1,39.77023509459857,2.7191489893678,8.0
2,39.77023509459857,2.704443717493476,8.0
3,39.77023509459857,2.704443717493476,8.0
4,39.77023509459857,2.7191489893678,8.0
5,39.77023509459857,2.8802833587539127,8.0
6,39.77023509459857,2.699937345458107,0.0010123572919188203
7,39.77023509459857,2.6594677462018343,8.0
8,39.77023509459857,0.002239615375126088,0.002769180200234816
9,39.77023509459857,0.002108918850588151,8.0
10,39.77023509459857,0.0023261878746931607,8.0
11,39.77023509459857,2.5466437961516224,8.0
12,39.77023509459857,2.6595900715582688,8.0
13,39.77023509459857,2.6870914922975584,8.0
14,39.77023509459857,2.804502262853616,8.0
15,39.77023509459857,3.4373917075501823,8.0
16,66.19592949258082,5.308734529916426,8.0
17,66.19592949258082,2.7191489893678,8.0
18,66.60263171474656,5.308734529916426,8.0
19,66.60263171474656,3.4390848971275663,8.0
20,66.60263171474656,4.206808767760487,8.0
21,69.98519378096218,5.308734529916426,8.0
22,72.80666730958082,4.2019480212948,8.0
23,73.37765390262962,5.308734529916426,8.0
