Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,99.71499999999996
vehicle,1,2,0.0,0.0,98.48
vehicle,1,3,0.0,0.0,98.79999999999998
vehicle,1,4,0.0,0.0,101.82500000000003
vehicle,1,5,0.0,0.0,108.63500000000002
vehicle,1,6,0.0,0.0,119.24000000000002
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,121.43999999999998
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,114.67
vehicle,1,11,0.0,0.0,112.56999999999998
vehicle,1,12,0.0,0.0,110.94
vehicle,1,13,0.0,0.0,112.25
vehicle,1,14,0.0,0.0,113.91000000000004
vehicle,1,15,0.0,0.0,117.72
vehicle,1,16,0.0,0.0,122.965
vehicle,1,17,0.0,0.0,129.24000000000004
vehicle,1,18,0.0,0.0,135.725
vehicle,1,19,0.0,0.0,135.22000000000006
vehicle,1,20,0.0,0.0,131.13000000000002
vehicle,1,21,0.0,0.0,124.86500000000004
vehicle,1,22,0.0,0.0,116.22
vehicle,1,23,0.0,0.0,108.54000000000002
vehicle,1,24,5648.351492239237,0.0,103.56500000000001
